<역별 승하차인원>,,,,,,,,,,,,,,,,,,,,,
전체,구분,05~06,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24,24~01
서울역(1),승차," 17,465 "," 18,434 "," 50,313 "," 93,398 "," 78,705 "," 86,342 "," 93,585 "," 97,707 "," 102,608 "," 101,710 "," 93,849 "," 122,597 "," 142,272 "," 207,172 "," 156,209 "," 108,909 "," 116,350 "," 88,902 "," 49,049 "," 4,558 "
,하차," 7,829 "," 48,553 "," 110,250 "," 233,852 "," 121,983 "," 79,628 "," 75,577 "," 70,984 "," 80,388 "," 80,263 "," 79,592 "," 84,211 "," 91,308 "," 98,175 "," 81,918 "," 65,388 "," 59,285 "," 50,266 "," 32,182 "," 13,943 "
시 청(1),승차," 2,993 "," 4,473 "," 7,633 "," 10,404 "," 13,328 "," 16,953 "," 25,467 "," 27,265 "," 36,393 "," 41,128 "," 48,352 "," 52,182 "," 63,118 "," 117,857 "," 85,833 "," 74,034 "," 85,680 "," 69,327 "," 24,653 "," 1,691 "
,하차," 4,142 "," 19,730 "," 67,995 "," 175,458 "," 83,777 "," 48,363 "," 47,519 "," 42,646 "," 45,465 "," 42,882 "," 38,720 "," 36,738 "," 37,284 "," 45,942 "," 43,780 "," 25,171 "," 14,515 "," 8,552 "," 5,349 "," 1,603 "
종 각,승차," 7,371 "," 7,836 "," 14,545 "," 24,578 "," 23,691 "," 32,290 "," 47,470 "," 57,187 "," 76,131 "," 78,721 "," 87,480 "," 96,491 "," 115,106 "," 188,578 "," 156,569 "," 138,406 "," 176,800 "," 182,774 "," 86,306 "," 6,074 "
,하차," 4,861 "," 29,757 "," 93,579 "," 245,221 "," 153,933 "," 88,680 "," 83,402 "," 78,253 "," 84,694 "," 80,095 "," 71,320 "," 75,733 "," 91,056 "," 121,063 "," 106,523 "," 49,591 "," 27,783 "," 18,249 "," 10,439 "," 2,429 "
종로3(1),승차," 7,683 "," 6,733 "," 11,103 "," 20,647 "," 20,878 "," 32,775 "," 46,390 "," 62,213 "," 79,812 "," 89,760 "," 109,496 "," 117,960 "," 122,073 "," 138,037 "," 124,621 "," 87,746 "," 99,388 "," 93,874 "," 43,373 "," 4,284 "
,하차," 2,119 "," 18,872 "," 34,622 "," 103,951 "," 110,831 "," 95,839 "," 93,370 "," 97,363 "," 106,736 "," 106,276 "," 91,369 "," 77,952 "," 72,634 "," 84,674 "," 77,413 "," 35,839 "," 18,949 "," 12,579 "," 8,339 "," 4,016 "
종로5가,승차," 3,159 "," 4,416 "," 8,070 "," 12,328 "," 16,909 "," 24,445 "," 34,454 "," 43,485 "," 56,337 "," 63,083 "," 72,147 "," 78,378 "," 87,662 "," 112,569 "," 83,818 "," 51,502 "," 46,205 "," 35,584 "," 14,442 "," 1,047 "
,하차," 2,977 "," 14,274 "," 51,907 "," 127,936 "," 93,821 "," 67,136 "," 63,338 "," 61,557 "," 63,166 "," 59,980 "," 52,270 "," 44,883 "," 39,772 "," 39,299 "," 27,538 "," 13,731 "," 10,187 "," 8,500 "," 5,253 "," 1,550 "
